style,view,shoe,speed_mph,run_folder,stride_idx,contact_ms,air_ms,stride_ms,ratio,pct_contact,knee_angle_deg,ankle_ahead_knee_px,toeoff_ankle_knee_px,cadence_spm,loading_rate,flight_arc_px,hip_osc_px
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,20,433,367,800,1.1798365122615804,54.125,172.5556861385414,-41.69374035261262,279.7967592539576,75.0,0.4519249889461363,159.55206105872617,78.63415613623603
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,21,433,367,800,1.1798365122615804,54.125,167.41634322899137,-19.248138943740628,287.52396661544844,75.0,0.49617649208217607,147.4085618992316,76.76262969184495
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,22,400,267,667,1.4981273408239701,59.97001499250375,166.9619788281016,-24.673212047615266,253.31355276186878,89.95502248875562,0.359526102813561,145.04914758961218,85.3310727385126
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,23,400,366,766,1.092896174863388,52.219321148825074,164.55057027109672,23.74923220331482,278.9451673966082,78.3289817232376,0.6026778694362483,157.305582831023,90.43519192310542
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,24,434,366,800,1.185792349726776,54.25,154.69584568262692,14.697878502581375,280.6543919968069,75.0,0.20856811964482572,162.30809532326452,93.78705702375503
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,25,434,366,800,1.185792349726776,54.25,164.55497832680018,-3.3287272209912544,295.18050644611367,75.0,0.3594384419415654,157.56612271390895,91.08602921915605
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,26,400,367,767,1.0899182561307903,52.15123859191656,165.09481784623043,-4.205551909272117,272.0843763756743,78.22685788787484,0.22396627256703106,161.6353524295571,81.36602157668585
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,27,367,366,733,1.0027322404371584,50.068212824010914,161.76714242813082,36.20869132638245,274.20989584848144,81.85538881309687,0.31469608594853976,173.1789449925485,89.4989240171274
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,28,400,367,767,1.0899182561307903,52.15123859191656,168.01976605175295,-29.617660042288435,278.4744956087527,78.22685788787484,0.3673531202528387,167.4093424989495,92.80896196719144
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,29,333,367,700,0.9073569482288828,47.57142857142857,167.77223793766086,-18.928635390523368,289.2517328666577,85.71428571428571,0.3575955946435921,162.67120320586343,93.85592931467781
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,30,433,367,800,1.1798365122615804,54.125,165.6878191645463,-9.733220001444579,286.41112431803003,75.0,0.22347774501960305,166.14770568929123,97.16059764280254
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,31,400,367,767,1.0899182561307903,52.15123859191656,164.89975117321123,0.07586937121050141,280.2696632950606,78.22685788787484,0.17068257378087653,154.0416571042905,97.16059764280254
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,32,433,367,800,1.1798365122615804,54.125,164.88307009192008,-19.57847552609428,273.28099770487825,75.0,0.4365208607524015,158.49096043796897,93.90372318629508
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,33,433,333,766,1.3003003003003002,56.527415143603136,159.57623033805328,10.548090688753064,287.62759255941387,78.3289817232376,0.37279506568058124,153.5608814847892,81.86054784016792
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,34,367,333,700,1.102102102102102,52.42857142857142,159.41902439405246,38.324896357358625,267.4419883254393,85.71428571428571,0.8512748966520592,154.77278872692068,76.34974049930838
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,35,434,333,767,1.3033033033033032,56.58409387222947,160.22914255416055,15.806586094731756,299.0589902024187,78.22685788787484,0.46615855260164835,162.28252931449208,86.48119834559418
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,36,433,367,800,1.1798365122615804,54.125,159.20997215923288,0.6267731857210492,291.5937584579674,75.0,0.5579918024940264,165.26502019039447,95.10685493976911
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,0,266,434,700,0.6129032258064516,38.0,141.21348639695523,143.78701754166366,274.76591730800794,85.71428571428571,-0.1159342833834809,160.44830200595072,
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,1,533,400,933,1.3325,57.12754555198285,174.23938826070687,-74.6872027982048,276.4386701098275,64.30868167202573,0.31532625466809777,172.64238973526994,
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,2,600,400,1000,1.5,60.0,179.16305285296545,-141.33839923323433,275.29857542931006,60.0,0.301234875682386,155.2675600862816,81.0278156419101
